ID,utterance,annotation,list-ID
6,alors on est le dix sept . [media],"[NULL,NULL,NULL]",1
6,alors on est le dix sept . [media],"[NULL,NULL,NULL]",2
7,[quote] maman fais attention .,"[NULL,NULL,NULL]",1
7,[quote] maman fais attention .,"[NULL,NULL,NULL]",2
8,t as failli faire tomber la lumière . [media],"[NULL,NULL,NULL]",1
8,t as failli faire tomber la lumière . [media],"[NULL,NULL,NULL]",2
9,[quote] oui xxx .,"[NULL,NULL,NULL]",1
9,[quote] oui xxx .,"[NULL,NULL,NULL]",2
10,ohlàlà .,"[NULL,NULL,NULL]",1
10,ohlàlà .,"[NULL,NULL,NULL]",2
11,dix sept janvier deux mille onze . [media],"[NULL,NULL,NULL]",1
11,dix sept janvier deux mille onze . [media],"[NULL,NULL,NULL]",2
12,c'est la première fois qu'on filme en deux mille onze et Anaé a ... [media],"[NULL,NULL,NULL]",1
12,c'est la première fois qu'on filme en deux mille onze et Anaé a ... [media],"[NULL,NULL,NULL]",2
13,quel âge tu as Anaé ?,"[NULL,NULL,NULL]",1
13,quel âge tu as Anaé ?,"[NULL,NULL,NULL]",2
14,quatre ans . [media],"[NULL,NULL,NULL]",1
14,quatre ans . [media],"[NULL,NULL,NULL]",2
15,quatre ans et . demi ? [media],"[NULL,NULL,NULL]",1
15,quatre ans et . demi ? [media],"[NULL,NULL,NULL]",2
16,[quote] et et et ...,"[NULL,NULL,NULL]",1
16,[quote] et et et ...,"[NULL,NULL,NULL]",2
17,juillet ... [media],"[NULL,NULL,NULL]",1
17,juillet ... [media],"[NULL,NULL,NULL]",2
18,[quote] quatre ans et demi .,"[NULL,NULL,NULL]",1
18,[quote] quatre ans et demi .,"[NULL,NULL,NULL]",2
19,août septembre octobre novembre décembre janvier oui . [media],"[NULL,NULL,NULL]",1
19,août septembre octobre novembre décembre janvier oui . [media],"[NULL,NULL,NULL]",2
20,[quote] disons .,"[NULL,NULL,NULL]",1
20,[quote] disons .,"[NULL,NULL,NULL]",2
21,[quote] ça c'est pour les escaliers .,"[NULL,NULL,NULL]",1
21,[quote] ça c'est pour les escaliers .,"[NULL,NULL,NULL]",2
22,quatre ans et demi pile . [media],"[NULL,NULL,NULL]",1
22,quatre ans et demi pile . [media],"[NULL,NULL,NULL]",2
23,alors ça c'est xxx . [media],"[NULL,NULL,NULL]",1
23,alors ça c'est xxx . [media],"[NULL,NULL,NULL]",2
24,xxx . [media],"[NULL,NULL,NULL]",1
24,xxx . [media],"[NULL,NULL,NULL]",2
25,[quote] il faut des trucs .,"[NULL,NULL,NULL]",1
25,[quote] il faut des trucs .,"[NULL,NULL,NULL]",2
26,bah il faut des trucs mais je comprends pas comment ça marche . [media],"[NULL,NULL,NULL]",1
26,bah il faut des trucs mais je comprends pas comment ça marche . [media],"[NULL,NULL,NULL]",2
27,il faut d' autres poteaux . [media],"[NULL,NULL,NULL]",1
27,il faut d' autres poteaux . [media],"[NULL,NULL,NULL]",2
28,c'est pas grave xxx ça c'est pour mettre sur l'escalier qui monte xxx . [media],"[NULL,NULL,NULL]",1
28,c'est pas grave xxx ça c'est pour mettre sur l'escalier qui monte xxx . [media],"[NULL,NULL,NULL]",2
29,voilà . [media],"[NULL,NULL,NULL]",1
29,voilà . [media],"[NULL,NULL,NULL]",2
30,un truc comme ça . [media],"[NULL,NULL,NULL]",1
30,un truc comme ça . [media],"[NULL,NULL,NULL]",2
31,mais on peut xxx yyy terrain . [media],"[NULL,NULL,NULL]",1
31,mais on peut xxx yyy terrain . [media],"[NULL,NULL,NULL]",2
32,attention .,"[NULL,NULL,NULL]",1
32,attention .,"[NULL,NULL,NULL]",2
33,\<None\> \<None\> \<None\> \<None\> le terrain il est tombé . [media],"[NULL,NULL,NULL]",1
33,\<None\> \<None\> \<None\> \<None\> le terrain il est tombé . [media],"[NULL,NULL,NULL]",2
34,le terrain il est tombé ? [media],"[NULL,NULL,NULL]",1
34,le terrain il est tombé ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
35,c'est pas simple hein . [media],"[NULL,NULL,NULL]",1
35,c'est pas simple hein . [media],"[NULL,NULL,NULL]",2
36,on va dire qu'on va prendre les personnages regarde . [media],"[NULL,NULL,NULL]",1
36,on va dire qu'on va prendre les personnages regarde . [media],"[NULL,NULL,NULL]",2
37,oui mais ça_y_est ça fait une maison elle a pas de toit mais ... [media],"[NULL,NULL,NULL]",1
37,oui mais ça_y_est ça fait une maison elle a pas de toit mais ... [media],"[NULL,NULL,NULL]",2
38,regarde tu prends tu prends les ustensiles . [media],"[NULL,NULL,NULL]",1
38,regarde tu prends tu prends les ustensiles . [media],"[NULL,NULL,NULL]",2
39,[quote] il pleut pas dedans .,"[NULL,NULL,NULL]",1
39,[quote] il pleut pas dedans .,"[NULL,NULL,NULL]",2
40,pourquoi \<interruption question\> [media],"[NULL,NULL,NULL]",1
40,pourquoi \<interruption question\> [media],"[NULL,NULL,NULL]",2
41,elle est toute petite cette voiture !,"[NULL,NULL,NULL]",1
41,elle est toute petite cette voiture !,"[NULL,NULL,NULL]",2
42,et puis on va enlever la terrasse on va mettre le toit . [media],"[NULL,NULL,NULL]",1
42,et puis on va enlever la terrasse on va mettre le toit . [media],"[NULL,NULL,NULL]",2
43,d'accord pendant que \<interruption\> [media],"[NULL,NULL,NULL]",1
43,d'accord pendant que \<interruption\> [media],"[NULL,NULL,NULL]",2
44,regarde t as qu'à regarder les accessoires pendant que je mets le toit moi .,"[NULL,NULL,NULL]",1
